title,user_score,critic_score
Grand Theft Auto IV,79,98
Grand Theft Auto V,83,97
BioShock,89,96
The Orange Box,88,96
Mass Effect 2,89,96
The Elder Scrolls V: Skyrim,85,96
Red Dead Redemption,90,95
Portal 2,87,95
Batman: Arkham City,87,94
Gears of War,83,94
The Elder Scrolls IV: Oblivion,87,94
Call of Duty 4: Modern Warfare,85,94
Halo 3,79,94
Call of Duty: Modern Warfare 2,64,94
Pac-Man Championship Edition DX,78,93
BioShock Infinite,85,93
Braid,85,93
Street Fighter IV,73,93
Fallout 3,85,93
Gears of War 2,77,93
Mass Effect 3,59,93
Rock Band 3,82,93
Guitar Hero II,81,92
Rock Band,80,92
Forza Motorsport 3,81,92
Batman: Arkham Asylum,87,92
The Walking Dead: A Telltale Games Series,86,92
Rock Band 2,82,92
Super Street Fighter IV,76,91
Dark Souls II,79,91
Halo: Reach,81,91
Mass Effect,87,91
Forza Motorsport 4,82,91
Gears of War 3,79,91
Far Cry 3,86,91
Assassin's Creed II,88,90
Bayonetta,81,90
Tom Clancy's Ghost Recon Advanced Warfighter,79,90
Trials Evolution,80,90
Grand Theft Auto IV: The Lost and Damned,80,90
FIFA Soccer 12,68,90
FIFA Soccer 10,75,90
Portal: Still Alive,84,90
LIMBO,84,90
Mark of the Ninja,74,90
Super Meat Boy,80,90
Dead Space 2,86,90
Geometry Wars: Retro Evolved 2,83,90
XCOM: Enemy Unknown,83,90
Forza Motorsport 2,83,90
Metal Gear Solid HD Collection,87,90
FIFA Soccer 13,62,90
Rayman Legends,82,90
NBA 2K12,77,90
Borderlands 2,83,89
Call of Duty 2,82,89
Plants vs. Zombies,82,89
Rez HD,80,89
Castlevania: Symphony of the Night,87,89
Fable II,66,89
Assassin's Creed: Brotherhood,83,89
Left 4 Dead 2,86,89
Left 4 Dead,79,89
Dark Souls,85,89
Grand Theft Auto IV: The Ballad of Gay Tony,85,89
Fez,62,89
Burnout Revenge,82,89
Dead Space,87,89
Dark Souls: Artorias of the Abyss,86,89
Deus Ex: Human Revolution,83,89
The Walking Dead: Episode 5 - No Time Left,88,89
The Beatles: Rock Band,86,89
L.A. Noire,79,89
Peggle,82,89
Virtua Fighter 5 Online,76,89
NBA 2K11,81,89
Burnout Paradise,70,88
Shadow Complex,87,88
Call of Duty: Modern Warfare 3,34,88
Dishonored,79,88
Pinball FX 2: Marvel Pinball - Avengers Chronicles,75,88
NHL 10,84,88
BioShock 2,82,88
NHL 09,83,88
Tom Clancy's Rainbow Six Vegas,83,88
Super Street Fighter II Turbo HD Remix,83,88
Star Wars Pinball: Balance of the Force,61,88
The Secret of Monkey Island: Special Edition,88,88
Project Gotham Racing 3,79,88
Battlefield: Bad Company 2,86,88
XCOM: Enemy Within,76,88
Pinball FX 2,82,88
NHL 11,77,88
The Witcher 2: Assassins of Kings,83,88
The Walking Dead: Episode 3 - Long Road Ahead,83,88
FIFA Soccer 11,75,88
Joe Danger: Special Edition,77,88
Battlefield: Bad Company 2 Vietnam,78,88
Need for Speed: Hot Pursuit,71,88
NBA 2K13,73,88
Rocksmith 2014 Edition,75,87
Halo 4,70,87
FIFA Soccer 09,79,87
Ikaruga,78,87
Mass Effect 2: Lair of the Shadow Broker,85,87
DiRT 3,70,87
Red Dead Redemption: Undead Nightmare Pack,84,87
Call of Duty: Black Ops,64,87
Fight Night Round 4,81,87
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,74,87
DiRT 2,82,87
Rayman Origins,82,87
