title                                                                     user_score  critic_score  title
ilomilo                                                                   81          81            ilomilo
de Blob 2                                                                 71          77            de Blob 2
Yosumin! LIVE                                                             tbd         64            Yosumin! LIVE
XCOM: Enemy Within                                                        76          88            XCOM: Enemy Within
XCOM: Enemy Unknown                                                       83          90            XCOM: Enemy Unknown
Word Puzzle                                                               tbd         43            Word Puzzle
Wolfenstein 3D                                                            82          66            Wolfenstein 3D
Virtua Fighter 5 Final Showdown                                           79          81            Virtua Fighter 5 Final Showdown
Vanquish                                                                  92          84            VANQUISH
Undertow                                                                  76          76            Undertow
Unbound Saga                                                              tbd         51            Unbound Saga
Ugly Americans: Apocalypsegeddon                                          64          45            Ugly Americans: Apocalypsegeddon
Tropico 4                                                                 74          77            Tropico 4
TRON: Evolution                                                           57          58            Tron: Evolution
Trine 2                                                                   73          85            Trine 2
Triggerheart Exelica                                                      81          63            Triggerheart Exelica
Trials HD                                                                 85          86            Trials HD
Toy Soldiers                                                              85          81            Toy Soldiers
Tower Bloxx Deluxe                                                        73          62            Tower Bloxx Deluxe
Torchlight                                                                77          81            Torchlight
Tomb Raider: Legend                                                       74          80            Tomb Raider: Legend
Tomb Raider: Anniversary                                                  85          77            Tomb Raider: Anniversary
TimeShift                                                                 79          70            TimeShift
Ticket to Ride                                                            78          70            Ticket to Ride
The Witcher 2: Assassins of Kings                                         83          88            The Witcher 2: Assassins of Kings
The Splatters                                                             88          72            The Splatters
The Orange Box                                                            88          96            The Orange Box
The Maw                                                                   77          75            The Maw
The Darkness II                                                           75          80            The Darkness II
The Darkness                                                              81          82            The Darkness
The Cave                                                                  78          70            The Cave
Tekken Tag Tournament 2                                                   76          83            Tekken Tag Tournament 2
Tecmo Bowl Throwback                                                      73          67            Tecmo Bowl Throwback
Tekken 6                                                                  71          80            TEKKEN 6
Supreme Commander 2                                                       71          75            Supreme Commander 2
Super Meat Boy                                                            80          90            Super Meat Boy
Super Contra                                                              63          61            Super Contra
Strania                                                                   tbd         66            Strania
Star Wars: The Force Unleashed II                                         57          61            Star Wars: The Force Unleashed II
Star Wars: The Force Unleashed                                            67          73            Star Wars: The Force Unleashed
Stacking                                                                  81          84            Stacking
Split/Second                                                              81          82            Split/Second
Spelunky                                                                  73          87            Spelunky
Spec Ops: The Line                                                        83          76            Spec Ops: The Line
Space Giraffe                                                             75          68            Space Giraffe
Space Ark                                                                 tbd         67            Space Ark
South Park: The Stick of Truth                                            85          82            South Park: The Stick of Truth
Sonic the Hedgehog 2                                                      88          82            Sonic The Hedgehog 2
Sonic the Hedgehog                                                        44          46            Sonic The Hedgehog
Sonic Generations                                                         84          77            Sonic Generations
Sonic CD                                                                  85          82            Sonic CD
